city,year,land_type,aqi,green_cover_percent,water_quality_index,flood_risk_score,dist_expressway_km,dist_metro_railway_km,near_industrial_zone,avg_price_per_sqft
Muradnagar,2020,Commercial,173,19.4,64.7,0.43,0.5,13.6,1,2661.76
Muradnagar,2015,Mixed-use,144,15.4,71.6,0.08,8.4,21.2,1,1778.91
Muradnagar,2023,Mixed-use,175,14.5,62.3,0.37,2.0,14.4,0,3024.34
Modinagar,2020,Residential,206,14.7,61.6,0.55,12.8,9.9,1,1597.8
Khekra,2016,Agricultural,154,17.5,76.4,0.26,20.1,8.3,0,266.27
Hapur,2021,Residential,208,14.0,57.2,0.36,12.1,5.0,1,1615.89
Khekra,2024,Mixed-use,177,19.6,61.6,0.5,19.1,33.8,0,2413.08
Sardhana,2024,Residential,100,26.2,70.9,0.46,16.3,39.1,1,1704.51
Mawana,2016,Mixed-use,144,23.7,70.1,0.6,35.3,58.6,0,1314.62
Modinagar,2025,Mixed-use,188,16.1,53.6,0.33,0.5,1.9,0,3496.39
Mawana,2024,Mixed-use,123,27.1,60.4,0.7,29.8,40.1,1,1838.17
Ghaziabad,2023,Commercial,220,4.0,33.9,0.44,17.8,0.5,1,5305.51
Sardhana,2018,Mixed-use,149,19.3,70.1,0.42,22.0,36.8,0,1560.32
Mawana,2025,Mixed-use,158,20.0,65.8,0.77,27.0,41.7,0,1905.11
Muradnagar,2016,Agricultural,162,10.0,47.0,0.51,23.7,24.0,0,256.57
Meerut,2023,Residential,178,15.3,34.0,0.47,11.3,17.1,0,2876.98
Baghpat,2015,Mixed-use,188,23.2,73.7,0.69,12.1,23.0,1,1215.04
Sardhana,2023,Residential,118,20.3,68.8,0.4,30.6,49.3,0,1680.69
Pilkhuwa,2019,Commercial,122,12.4,70.3,0.45,20.9,23.5,0,2640.92
Khekra,2024,Agricultural,176,16.7,68.8,0.41,20.7,16.5,0,318.05
Modinagar,2021,Residential,190,16.4,63.7,0.35,3.9,6.9,0,2217.26
Modinagar,2019,Agricultural,213,13.7,35.6,0.31,10.3,11.9,1,316.8
Mawana,2018,Residential,85,24.8,65.0,0.76,37.9,42.4,0,1105.23
Sardhana,2016,Mixed-use,129,23.7,56.4,0.17,30.7,45.0,0,1462.86
Sardhana,2024,Agricultural,175,22.8,76.1,0.4,35.3,28.1,1,287.38
Baghpat,2025,Agricultural,160,13.5,54.7,0.58,25.2,16.5,1,290.93
Mawana,2024,Agricultural,90,32.1,75.8,0.55,32.5,37.2,0,335.56
Ghaziabad,2023,Mixed-use,178,7.7,62.3,0.05,0.5,7.9,0,6007.71
Meerut,2016,Residential,221,10.3,43.0,0.35,8.1,8.7,1,1555.3
Meerut,2025,Commercial,256,11.2,62.4,0.35,10.3,1.0,0,5294.24
Khekra,2018,Agricultural,115,13.2,56.3,0.56,12.7,27.3,0,243.51
Baghpat,2017,Residential,166,18.1,60.0,0.67,14.2,32.3,0,1209.83
Baghpat,2020,Commercial,154,19.4,87.0,0.67,22.0,58.4,0,2669.65
Modinagar,2025,Mixed-use,189,11.6,66.3,0.37,1.1,15.4,1,3120.91
Baghpat,2022,Mixed-use,161,23.7,69.9,0.6,23.9,35.5,1,2082.5
Mawana,2019,Mixed-use,117,16.5,65.1,0.43,39.0,30.1,0,1542.73
Meerut,2017,Agricultural,136,10.9,56.2,0.37,0.5,3.4,1,442.48
Baghpat,2023,Agricultural,112,23.3,65.7,0.49,24.6,34.1,1,303.64
Mawana,2025,Commercial,119,18.2,66.6,0.65,29.8,32.8,0,2758.5
Muradnagar,2016,Agricultural,155,14.5,53.9,0.1,0.6,4.9,1,289.17
Meerut,2016,Residential,215,12.2,40.1,0.38,4.8,22.8,1,1511.12
Baghpat,2024,Commercial,148,20.5,55.5,0.52,26.8,41.1,0,3032.69
Sardhana,2021,Residential,149,23.3,78.4,0.28,18.2,53.6,0,1599.75
Muradnagar,2022,Commercial,153,16.0,50.4,0.45,12.2,24.6,1,2596.83
Hapur,2023,Commercial,172,8.6,75.5,0.43,7.5,25.8,0,3172.06
Ghaziabad,2018,Agricultural,204,12.2,52.4,0.37,6.4,1.5,1,593.53
Sardhana,2020,Residential,156,20.4,61.5,0.63,26.2,45.3,0,1201.49
Meerut,2022,Mixed-use,259,14.6,64.2,0.52,0.5,8.8,0,3243.67
Sardhana,2019,Commercial,106,15.0,63.8,0.29,42.3,39.5,0,2064.42
Sardhana,2020,Agricultural,153,36.9,86.1,0.19,25.2,24.8,0,353.37
Modinagar,2021,Agricultural,106,13.5,32.1,0.32,0.5,24.1,0,447.47
Pilkhuwa,2021,Mixed-use,175,16.0,71.3,0.55,0.5,32.5,1,1980.01
Baghpat,2019,Commercial,96,21.5,62.6,0.68,15.8,32.4,0,2485.45
Sardhana,2021,Mixed-use,147,24.7,81.7,0.22,23.8,41.7,0,2006.49
Hapur,2018,Commercial,239,22.1,61.8,0.45,18.4,22.9,0,2263.05
Meerut,2025,Mixed-use,201,12.4,44.2,0.26,4.2,1.2,1,3604.41
Meerut,2016,Commercial,118,10.5,36.7,0.57,0.9,0.5,0,3216.76
Mawana,2020,Residential,141,23.8,75.4,0.57,32.1,53.2,0,1389.98
Mawana,2025,Residential,136,25.0,67.6,0.7,29.0,42.9,0,1677.25
Mawana,2023,Mixed-use,120,22.0,76.0,0.84,33.8,52.3,0,2082.62
Khekra,2025,Commercial,75,13.8,67.2,0.49,15.5,40.8,1,2929.15
Hapur,2016,Commercial,181,14.0,45.5,0.52,9.4,25.9,1,1569.7
Baghpat,2020,Residential,197,21.9,70.6,0.62,23.5,33.1,0,1460.17
Muradnagar,2025,Commercial,195,17.1,65.8,0.42,11.2,29.5,1,3373.71
Meerut,2022,Mixed-use,151,8.5,60.8,0.24,10.6,0.6,0,3948.32
Baghpat,2017,Mixed-use,131,10.2,81.2,0.44,25.8,43.5,0,1566.98
Sardhana,2021,Agricultural,171,18.7,59.9,0.4,26.6,47.7,0,241.04
Meerut,2016,Agricultural,185,6.1,51.1,0.32,11.4,0.5,1,328.68
Meerut,2017,Commercial,249,9.9,44.3,0.51,0.5,10.1,1,2550.94
Pilkhuwa,2017,Mixed-use,190,9.2,46.7,0.74,14.7,17.9,0,1492.02
Mawana,2023,Agricultural,135,19.3,67.2,0.86,33.2,39.4,0,253.48
Ghaziabad,2023,Mixed-use,221,12.5,33.3,0.54,20.8,0.5,1,4240.32
Sardhana,2015,Commercial,102,13.6,66.2,0.38,40.9,33.9,0,1635.74
Pilkhuwa,2020,Agricultural,189,17.6,54.9,0.32,6.5,23.2,0,328.96
Muradnagar,2023,Agricultural,127,10.1,64.5,0.29,13.1,22.0,0,417.53
Mawana,2021,Agricultural,140,20.2,68.9,0.65,39.5,36.5,1,217.26
Modinagar,2025,Residential,208,15.2,62.3,0.43,25.2,12.7,1,2069.3
Khekra,2025,Agricultural,171,16.7,60.7,0.46,28.4,28.3,1,280.98
Pilkhuwa,2022,Commercial,167,16.1,54.6,0.13,7.3,12.8,1,2811.98
Modinagar,2024,Residential,158,14.0,71.5,0.14,15.4,0.5,1,2261.71
Modinagar,2015,Commercial,182,16.1,55.7,0.54,11.1,0.5,0,2388.76
Baghpat,2025,Residential,169,21.1,55.3,0.78,19.0,35.2,0,1795.42
Meerut,2019,Commercial,208,5.3,61.1,0.28,0.5,0.5,1,2925.16
Khekra,2024,Residential,141,17.8,45.0,0.52,20.4,32.8,0,1596.79
Meerut,2017,Commercial,177,9.3,49.8,0.42,0.5,12.8,0,3287.34
Pilkhuwa,2017,Residential,153,12.1,67.0,0.52,18.0,32.9,1,1203.87
Modinagar,2025,Residential,196,15.4,55.1,0.49,13.3,0.5,0,2532.14
Meerut,2016,Commercial,157,17.4,60.5,0.52,1.3,0.5,0,3607.5
Muradnagar,2020,Mixed-use,151,13.6,38.1,0.52,13.7,14.0,0,2198.08
Muradnagar,2020,Residential,179,5.7,71.9,0.09,1.5,19.5,1,1565.79
Mawana,2024,Residential,120,25.8,58.1,0.6,32.2,41.4,0,1739.86
Sardhana,2021,Residential,142,28.3,67.9,0.42,34.6,54.0,0,1525.83
Hapur,2015,Residential,160,12.5,63.5,0.31,29.9,26.0,1,1116.53
Hapur,2023,Agricultural,206,9.3,68.2,0.21,2.0,33.4,0,347.06
Ghaziabad,2015,Commercial,200,6.4,42.1,0.22,10.8,0.5,1,3459.4
Modinagar,2017,Residential,190,7.9,49.2,0.6,20.7,0.5,1,1290.21
Khekra,2020,Residential,140,23.8,72.8,0.18,25.3,21.1,0,1672.37
Khekra,2024,Agricultural,104,16.7,63.4,0.51,14.5,34.1,1,303.86
Ghaziabad,2017,Commercial,192,8.5,51.3,0.38,0.5,0.5,0,4813.46
Baghpat,2019,Mixed-use,186,19.7,73.8,0.54,23.8,48.6,0,1735.83
Meerut,2020,Agricultural,212,6.8,46.7,0.31,19.1,6.8,1,369.72
Ghaziabad,2022,Commercial,271,3.7,53.6,0.16,9.1,4.4,0,5802.63
Modinagar,2025,Commercial,199,12.5,62.4,0.18,18.6,0.5,0,4214.29
Baghpat,2021,Mixed-use,129,15.1,60.2,0.72,29.1,25.6,0,1967.16
Baghpat,2025,Residential,146,21.6,61.2,0.59,25.1,35.3,0,1984.58
